HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
MRPL20	mitochondrial ribosomal protein L20	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 21q. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2016],	1	L20mt, MRP-L20	HGNC:14478	MRPL20	ENSG00000242485	MRPL20	55052	MRPL20
MRPL21	mitochondrial ribosomal protein L21	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Multiple transcript variants encoding different isoforms were identified through sequence analysis although some may be subject to nonsense-mediated decay (NMD). [provided by RefSeq, Jul 2008],	11	L21mt, MRP-L21	HGNC:14479	MRPL21	ENSG00000197345	MRPL21	219927	MRPL21
MRPL22	mitochondrial ribosomal protein L22	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L22 ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome 4q. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	5	HSPC158, L22mt, MRP-L22, MRP-L25, RPML25	HGNC:14480	MRPL22	ENSG00000082515	MRPL22	29093	MRPL22
MRPL23	mitochondrial ribosomal protein L23	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. The gene is biallelically expressed, despite its location within a region of imprinted genes on chromosome 11. [provided by RefSeq, Jul 2008],	11	L23MRP, RPL23, RPL23L	HGNC:10322	MRPL23	ENSG00000214026	MRPL23	6150	MRPL23
MRPL24	mitochondrial ribosomal protein L24	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein which is more than twice the size of its E.coli counterpart (EcoL24). Sequence analysis identified two transcript variants that encode the same protein. [provided by RefSeq, Jul 2008],	1	L24mt, MRP-L18, MRP-L24	HGNC:14037	MRPL24	ENSG00000143314	MRPL24	79590	MRPL24
MRPL27	mitochondrial ribosomal protein L27	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	17	L27mt	HGNC:14483	MRPL27	ENSG00000108826	MRPL27	51264	MRPL27
MRPL28	mitochondrial ribosomal protein L28	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein, a part of which was originally isolated by its ability to recognize tyrosinase in an HLA-A24-restricted fashion. [provided by RefSeq, Jul 2008],	16	MAAT1, p15	HGNC:14484	MRPL28	ENSG00000086504	MRPL28	10573	MRPL28
MRPL3	mitochondrial ribosomal protein L3	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L3P ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome 13q. [provided by RefSeq, Jul 2008],	3	COXPD9, MRL3, RPML3	HGNC:10379	MRPL3	ENSG00000114686	MRPL3	11222	MRPL3
MRPL30	mitochondrial ribosomal protein L30	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Alternative splicing results in multiple transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 6p and 12p. Read-through transcription also exists between this gene and the neighboring upstream lipoyltransferase 1 (LIPT1) gene. [provided by RefSeq, Mar 2011],	2	L28MT, L30MT, MRP-L28, MRP-L30, MRPL28, MRPL28M, RPML28	HGNC:14036	MRPL30	ENSG00000185414	MRPL30	51263	MRPL30
MRPL32	mitochondrial ribosomal protein L32	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L32 ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome Xp. [provided by RefSeq, Jul 2008],	7	HSPC283, L32mt, MRP-L32, bMRP-59b	HGNC:14035	MRPL32	ENSG00000106591	MRPL32	64983	MRPL32
MRPL33	mitochondrial ribosomal protein L33	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008],	2	C2orf1, L33mt, MRP-L33, RPL33L	HGNC:14487	MRPL33	ENSG00000243147	MRPL33	9553	MRPL33
MRPL34	mitochondrial ribosomal protein L34	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	19	L34mt	HGNC:14488	MRPL34	ENSG00000130312	MRPL34	64981	MRPL34
MRPL35	mitochondrial ribosomal protein L35	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Sequence analysis identified three transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 6p, 10q, and Xp. [provided by RefSeq, Jul 2008],	2	L35mt, MRP-L35	HGNC:14489	MRPL35	ENSG00000132313	MRPL35	51318	MRPL35
MRPL36	mitochondrial ribosomal protein L36	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 2p. [provided by RefSeq, Jul 2008],	5	BRIP1, L36mt, MRP-L36, PRPL36, RPMJ	HGNC:14490	MRPL36	ENSG00000171421	MRPL36	64979	MRPL36
MRPL37	mitochondrial ribosomal protein L37	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	1	L2mt, L37mt, MRP-L2, MRP-L37, MRPL2, RPML2	HGNC:14034	MRPL37	ENSG00000116221	MRPL37	51253	MRPL37
MRPL38	mitochondrial ribosomal protein L38	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	17	HSPC262, L38MT, MRP-L3, MRP-L38, RPML3	HGNC:14033	MRPL38	ENSG00000204316	MRPL38	64978	MRPL38
MRPL39	mitochondrial ribosomal protein L39	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Two transcript variants encoding distinct isoforms have been described. A pseudogene corresponding to this gene is found on chromosome 5q. [provided by RefSeq, Jul 2008],	21	C21orf92, L39mt, MRP-L5, MRPL5, MSTP003, PRED22, PRED66, RPML5	HGNC:14027	MRPL39	ENSG00000154719	MRPL39	54148	MRPL39
MRPL4	mitochondrial ribosomal protein L4	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Sequence analysis identified alternatively spliced variants that encode different protein isoforms. [provided by RefSeq, Jul 2008],	19	CGI-28, L4mt	HGNC:14276	MRPL4	ENSG00000105364	MRPL4	51073	MRPL4
MRPL40	mitochondrial ribosomal protein L40	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Deletions in this gene may contribute to the etiology of velo-cardio-facial syndrome and DiGeorge syndrome. [provided by RefSeq, Jul 2008],	22	L40mt, MRP-L22, MRP-L40, MRPL22, NLVCF, URIM	HGNC:14491	MRPL40	ENSG00000185608	MRPL40	64976	MRPL40
MRPL41	mitochondrial ribosomal protein L41	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the YmL27 ribosomal protein family. [provided by RefSeq, Jul 2008],	9	BMRP, MRP-L27, MRPL27, PIG3, RPML27	HGNC:14492	MRPL41	ENSG00000182154	MRPL41	64975	MRPL41
MRPL42	mitochondrial ribosomal protein L42	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a protein identified as belonging to both the 28S and the 39S subunits. Alternative splicing results in multiple transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 4q, 6p, 6q, 7p, and 15q. [provided by RefSeq, May 2011],	12	HSPC204, L31MT, L42MT, MRP-L31, MRP-L42, MRP-S32, MRPL31, MRPS32, PTD007, RPML31, S32MT	HGNC:14493	MRPL42	ENSG00000198015	MRPL42	28977	MRPL42
MRPL43	mitochondrial ribosomal protein L43	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. This gene and the gene for a semaphorin class 4 protein (SEMA4G) overlap at map location 10q24.31 and are transcribed in opposite directions. Sequence analysis identified multiple transcript variants encoding at least four different protein isoforms. [provided by RefSeq, Jul 2008],	10	L43mt, MRP-L43, bMRP36a	HGNC:14517	MRPL43	ENSG00000055950	MRPL43	84545	MRPL43
MRPL44	mitochondrial ribosomal protein L44	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	2	COXPD16, L44MT, MRP-L44	HGNC:16650	MRPL44	ENSG00000135900	MRPL44	65080	MRPL44
MRPL45	mitochondrial ribosomal protein L45	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Alternative splicing results in multiple transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 2p and 17q. [provided by RefSeq, May 2013],	17	L45mt, MRP-L45	HGNC:16651	MRPL45	ENSG00000278845	MRPL45	84311	MRPL45
MRPL46	mitochondrial ribosomal protein L46	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	15	C15orf4, LIECG2, P2ECSL	HGNC:1192	MRPL46	ENSG00000259494	MRPL46	26589	MRPL46
MRPL47	mitochondrial ribosomal protein L47	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. This gene is immediately adjacent to the gene for BAF complex 53 kDa subunit protein a (BAF53a), in a tail-to-tail orientation. Two transcript variants encoding different protein isoforms have been identified. [provided by RefSeq, Jul 2008],	3	CGI-204, L47mt, MRP-L47, NCM1	HGNC:16652	MRPL47	ENSG00000136522	MRPL47	57129	MRPL47
MRPL48	mitochondrial ribosomal protein L48	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 6p. Several transcript variants, some protein-coding and some non-protein coding, have been found for this gene. [provided by RefSeq, Jan 2016],	11	CGI-118, HSPC290, L48MT, MRP-L48	HGNC:16653	MRPL48	ENSG00000175581	MRPL48	51642	MRPL48
MRPL49	mitochondrial ribosomal protein L49	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. Pseudogenes corresponding to this gene are found on chromosomes 5q and 8p. [provided by RefSeq, May 2011],	11	C11orf4, L49mt, MRP-L49, NOF, NOF1	HGNC:1176	MRPL49	ENSG00000149792	MRPL49	740	MRPL49
MRPL50	mitochondrial ribosomal protein L50	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a putative 39S subunit protein and belongs to the L47P ribosomal protein family. Pseudogenes corresponding to this gene are found on chromosomes 2p, 2q, 5p, and 10q. [provided by RefSeq, Jul 2008],	9	MRP-L50	HGNC:16654	MRPL50	ENSG00000136897	MRPL50	54534	MRPL50
MRPL51	mitochondrial ribosomal protein L51	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Pseudogenes corresponding to this gene are found on chromosomes 4p and 21q. [provided by RefSeq, Jul 2008],	12	CDA09, HSPC241, MRP64, bMRP64	HGNC:14044	MRPL51	ENSG00000111639	MRPL51	51258	MRPL51
MRPL52	mitochondrial ribosomal protein L52	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein which has no bacterial homolog. Multiple transcript variants encoding different protein isoforms were identified through sequence analysis. [provided by RefSeq, Jul 2008],	14		HGNC:16655	MRPL52	ENSG00000172590	MRPL52	122704	MRPL52
MRPL53	mitochondrial ribosomal protein L53	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 1p. [provided by RefSeq, Jul 2008],	2	L53MT	HGNC:16684	MRPL53	ENSG00000204822	MRPL53	116540	MRPL53
MRPL54	mitochondrial ribosomal protein L54	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	19	L54mt, MRP-L54	HGNC:16685	MRPL54	ENSG00000183617	MRPL54	116541	MRPL54
MRPL55	mitochondrial ribosomal protein L55	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Multiple transcript variants encoding two different isoforms were identified through sequence analysis. [provided by RefSeq, Jul 2008],	1	AAVG5835, L55nt, MRP-L55, PRO19675	HGNC:16686	MRPL55	ENSG00000162910	MRPL55	128308	MRPL55
MRPL57	mitochondrial ribosomal protein L57	Translation	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a protein which belongs to an undetermined ribosomal subunit and which seems to be specific to animal mitoribosomes. Pseudogenes corresponding to this gene are found on chromosomes 1p, 1q, 3p, 5q, 8q, 14q, and Y. [provided by RefSeq, Jul 2008],	13	MRP63, bMRP63	HGNC:14514	MRPL57	ENSG00000173141	MRPL57	78988	MRPL57
